Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.740741,1.000000,18834066.000000
0.740741,1.000000,5974957.000000
0.728395,1.000000,166453408.000000
0.728395,1.000000,41435.000000
0.728395,1.000000,51998054.000000
0.728395,1.000000,950704.000000
0.728395,1.000000,19766125.000000
0.728395,1.000000,310369.000000
0.728395,1.000000,2032771.000000
0.728395,1.000000,4716684.000000
0.728395,1.000000,265448.000000
0.728395,1.000000,1671316.000000
0.728395,1.000000,117351.000000
0.728395,1.000000,1903145.000000
0.728395,1.000000,3314588.000000
0.728395,1.000000,2057594.000000
0.728395,1.000000,140065.000000
0.728395,1.000000,409447.000000
0.728395,1.000000,527655.000000
0.728395,1.000000,36085.000000
0.728395,1.000000,74446.000000
0.716049,1.000000,79102.000000
0.716049,1.000000,326202.000000
0.716049,1.000000,73403.000000
0.716049,1.000000,918766.000000
0.716049,1.000000,2119997.000000
0.716049,1.000000,5002771.000000
0.716049,1.000000,18861832.000000
0.716049,1.000000,1698649.000000
0.716049,1.000000,693301.000000
0.716049,1.000000,894142.000000
0.716049,1.000000,17340319.000000
0.716049,1.000000,1750013.000000
0.716049,1.000000,878011.000000
0.716049,1.000000,105909.000000
0.716049,1.000000,4957114.000000
0.716049,1.000000,694923.000000
0.716049,1.000000,31469619.000000
0.716049,1.000000,77524.000000
0.716049,1.000000,1039041.000000
0.716049,1.000000,35033707.000000
0.716049,1.000000,1744237.000000
0.716049,1.000000,17818.000000
0.716049,1.000000,50300.000000
0.716049,1.000000,20009408.000000
0.716049,1.000000,386045.000000
0.716049,1.000000,624901.000000
0.716049,1.000000,495138.000000
0.716049,1.000000,3349995.000000
0.716049,1.000000,10785111.000000
0.716049,1.000000,1758715.000000
0.716049,1.000000,322087.000000
0.716049,1.000000,19343903.000000
0.716049,1.000000,188055.000000
0.716049,1.000000,593088.000000
0.716049,1.000000,888337.000000
0.716049,1.000000,540344.000000
0.716049,1.000000,4909171.000000
0.716049,1.000000,603277.000000
0.716049,1.000000,92958.000000
0.716049,1.000000,4989531.000000
0.716049,1.000000,1286974.000000
0.716049,1.000000,2410995.000000
0.716049,1.000000,273165.000000
0.716049,1.000000,44805.000000
0.716049,1.000000,238756.000000
0.716049,1.000000,19421402.000000
0.716049,1.000000,3013570.000000
0.716049,1.000000,509355.000000
0.716049,1.000000,229646.000000
0.716049,1.000000,5706662.000000
0.716049,1.000000,1091870.000000
0.716049,1.000000,186835.000000
0.716049,1.000000,328503.000000
0.716049,1.000000,592539.000000
0.716049,1.000000,13267623.000000
0.716049,1.000000,1029625.000000
0.716049,1.000000,45876.000000
0.716049,1.000000,1207014.000000
0.716049,1.000000,3221917.000000
0.716049,1.000000,2676997.000000
0.716049,1.000000,382088.000000
0.716049,1.000000,145333.000000
0.716049,1.000000,9285214.000000
0.716049,1.000000,205311.000000
0.716049,1.000000,560219.000000
0.716049,1.000000,4538655.000000
0.716049,1.000000,475873.000000
0.716049,1.000000,828245.000000
0.716049,1.000000,1532517.000000
0.716049,1.000000,7672723.000000
0.716049,1.000000,663326.000000
0.716049,1.000000,88695.000000
0.716049,1.000000,431765.000000
0.716049,1.000000,343200.000000
0.716049,1.000000,1676390.000000
0.716049,1.000000,30276.000000
0.716049,1.000000,180005.000000
0.716049,1.000000,2517660.000000
0.716049,1.000000,654397.000000
0.716049,1.000000,38556.000000
0.716049,1.000000,505485.000000
0.716049,1.000000,8153931.000000
0.716049,1.000000,18274.000000
0.716049,1.000000,248034.000000
0.716049,1.000000,223692.000000
0.716049,1.000000,1475989.000000
0.716049,1.000000,754328.000000
0.716049,1.000000,3069489.000000
0.716049,1.000000,9729634.000000
0.716049,1.000000,82331.000000
0.716049,1.000000,211672.000000
0.716049,1.000000,329513.000000
0.716049,1.000000,1138157.000000
0.716049,1.000000,2953242.000000
0.716049,1.000000,1731695.000000
0.716049,1.000000,1931868.000000
0.716049,1.000000,353626.000000
0.716049,1.000000,454220.000000
0.716049,1.000000,556798.000000
0.716049,1.000000,2440362.000000
0.716049,1.000000,4454313.000000
0.716049,1.000000,5752902.000000
0.716049,1.000000,635833.000000
0.716049,1.000000,38671.000000
0.716049,1.000000,2198805.000000
0.716049,1.000000,344253.000000
0.716049,1.000000,640065.000000
0.716049,1.000000,5275743.000000
0.716049,1.000000,312729.000000
0.716049,1.000000,1941636.000000
0.716049,1.000000,2163426.000000
0.716049,1.000000,599962.000000
0.716049,1.000000,13333734.000000
0.716049,1.000000,37426.000000
0.716049,1.000000,693938.000000
0.716049,1.000000,67920.000000
0.716049,1.000000,983168.000000
0.716049,1.000000,2056980.000000
0.703704,1.000000,2084378.000000
0.703704,1.000000,2846587.000000
0.703704,1.000000,576918.000000
0.703704,1.000000,6413375.000000
0.703704,1.000000,44899.000000
0.703704,1.000000,249118.000000
0.703704,1.000000,797463.000000
0.703704,1.000000,405428.000000
0.703704,1.000000,4448907.000000
0.703704,1.000000,170959.000000
0.703704,1.000000,363280.000000
0.703704,1.000000,35512.000000
0.703704,1.000000,892681.000000
0.703704,1.000000,5415397.000000
0.703704,1.000000,956601.000000
0.703704,1.000000,1426052.000000
0.703704,1.000000,1407850.000000
0.703704,1.000000,1362213.000000
0.703704,1.000000,11160553.000000
0.703704,1.000000,1488586.000000
0.703704,1.000000,5640525.000000
0.703704,1.000000,31298.000000
0.703704,1.000000,220028.000000
0.703704,1.000000,3972525.000000
0.703704,1.000000,3060750.000000
0.703704,1.000000,7963144.000000
0.703704,1.000000,298915.000000
0.703704,1.000000,3652301.000000
0.703704,1.000000,409978.000000
0.703704,1.000000,789382.000000
0.703704,1.000000,732502.000000
0.703704,1.000000,233814.000000
0.703704,1.000000,1004650.000000
0.703704,1.000000,1482634.000000
0.703704,1.000000,28513.000000
0.703704,1.000000,1477400.000000
0.703704,1.000000,157000.000000
0.703704,1.000000,537922.000000
0.703704,1.000000,6463329.000000
0.703704,1.000000,14101740.000000
0.703704,1.000000,2109357.000000
0.703704,1.000000,2179920.000000
0.703704,1.000000,8471097.000000
