Puzzle Difficulty,Elapsed Time (ns)
0.259,690571
0.259,734160
0.272,240031
0.272,155845
0.272,359309
0.272,451556
0.272,599388
0.272,192585
0.272,357886
0.272,405037
0.272,777432
0.272,376273
0.272,67746
0.272,183533
0.272,198228
0.272,215851
0.272,112516
0.272,226259
0.272,55428
0.272,54427
0.272,50077
0.284,83663
0.284,584690
0.284,74187
0.284,186025
0.284,201577
0.284,650293
0.284,1044431
0.284,1339913
0.284,152530
0.284,194417
0.284,1424891
0.284,238786
0.284,410225
0.284,154646
0.284,4383576
0.284,153030
0.284,1990788
0.284,150026
0.284,1592813
0.284,768699
0.284,830627
0.284,122677
0.284,720070
0.284,1487350
0.284,236433
0.284,627657
0.284,601085
0.284,187425
0.284,244872
0.284,459563
0.284,107530
0.284,2011989
0.284,243742
0.284,489166
0.284,3269641
0.284,243984
0.284,226502
0.284,443634
0.284,200533
0.284,150278
0.284,714906
0.284,372993
0.284,133581
0.284,127370
0.284,323815
0.284,7176582
0.284,152108
0.284,341318
0.284,136271
0.284,342508
0.284,478652
0.284,135771
0.284,2994019
0.284,341628
0.284,698224
0.284,125000
0.284,90848
0.284,740836
0.284,1849414
0.284,371441
0.284,693077
0.284,150378
0.284,2358601
0.284,315290
0.284,334937
0.284,489093
0.284,829524
0.284,311694
0.284,274028
0.284,193153
0.284,251107
0.284,580468
0.284,153784
0.284,654801
0.284,413270
0.284,311173
0.284,165160
0.284,1639881
0.284,543812
0.284,99906
0.284,179136
0.284,1747936
0.284,298557
0.284,219595
0.284,162579
0.284,126685
0.284,309320
0.284,385454
0.284,3613652
0.284,160204
0.284,166924
0.284,1053070
0.284,429792
0.284,508763
0.284,1329890
0.284,1740115
0.284,66816
0.284,504211
0.284,135519
0.284,1097802
0.284,824363
0.284,280281
0.284,287098
0.284,218401
0.284,437190
0.284,189872
0.284,945281
0.284,1397591
0.284,87316
0.284,668712
0.284,299183
0.284,141150
0.284,3093544
0.284,61437
0.284,138930
0.284,192222
0.284,1534319
0.284,754232
0.296,188290
0.296,2836187
0.296,410697
0.296,158169
0.296,104745
0.296,176571
0.296,607638
0.296,81508
0.296,1004254
0.296,60807
0.296,70970
0.296,61233
0.296,238472
0.296,298270
0.296,150307
0.296,70836
0.296,293904
0.296,147510
0.296,535043
0.296,550928
0.296,288399
0.296,50263
0.296,67635
0.296,336040
0.296,1129960
0.296,96380
0.296,257679
0.296,304631
0.296,81200
0.296,466700
0.296,647771
0.296,327619
0.296,300336
0.296,209012
0.296,54042
0.296,426822
0.296,112964
0.296,308925
0.296,5077358
0.296,533878
0.296,2189762
0.296,671790
0.296,2221725
0.296,125824
0.296,242952
0.296,111160
0.296,292444
0.296,140604
0.296,255369
0.296,2809501
0.296,767183
0.296,291817
0.296,214522
0.296,122090
0.296,127899
0.296,138405
0.296,378770
0.296,197185
0.296,290799
0.296,2195053
0.296,633412
0.296,103706
0.296,150920
0.296,713604
0.296,246872
0.296,110984
0.296,489519
0.296,175158
0.296,145416
0.296,1112511
0.296,344430
0.296,421403
0.296,472683
0.296,94540
0.296,267384
0.296,227390
0.296,711962
0.296,751408
0.296,159052
0.296,84396
0.296,880791
0.296,1144745
0.296,697980
0.296,2632381
0.296,432505
0.296,89025
0.296,279186
0.296,272280
0.296,130898
0.296,361732
0.296,206103
0.296,276222
0.296,344211
0.296,130990
0.296,244460
0.296,856100
0.296,79716
0.296,586508
0.296,189268
0.296,411049
0.296,104412
0.296,256879
0.296,2315043
0.296,3226254
0.296,946291
0.296,1076436
0.296,718107
0.296,153345
0.296,90110
0.296,82955
0.296,560994
0.296,103379
0.296,862184
0.296,105028
0.296,1169535
0.296,1207070
0.296,373843
0.296,1360485
0.296,154472
0.296,3328854
0.296,265012
0.296,153491
0.296,545721
0.296,4039691
0.296,71371
0.296,2869031
0.296,142873
0.296,580553
0.296,312961
0.296,1958337
0.296,126264
0.296,182975
0.296,223597
0.296,235026
0.296,511646
0.296,134535
0.296,560385
0.296,2160569
0.296,95183
0.296,149244
0.296,106599
0.296,45125
0.296,321001
0.296,462721
0.296,75237
0.296,147804
0.296,142782
0.296,1182086
0.296,649012
0.296,479014
0.296,76562
0.296,433944
0.296,645591
0.296,117012
0.296,46815
0.296,105790
0.296,118111
0.296,127316
0.296,213031
0.296,178293
0.296,202898
0.296,84637
0.296,308977
0.296,178561
0.296,65823
0.296,125994
0.296,1043645
0.296,418972
0.296,108592
0.296,205583
0.296,50893
0.296,181994
0.296,123790
0.296,50267
0.296,278371
0.296,766155
0.296,266612
0.296,98530
0.296,744592
0.296,474982
0.296,194667
0.296,1692534
0.296,619005
0.296,208475
0.296,388340
0.296,422563
0.296,296638
0.296,1996687
0.296,225533
0.296,202014
0.296,102317
0.296,59511
0.296,1321382
0.296,902007
0.296,116060
0.296,704119
0.296,191759
0.296,144480
0.296,138507
0.296,371693
0.296,1491457
0.296,182878
0.296,294724
0.296,160323
0.296,69951
0.296,100877
0.296,1214454
0.296,182431
0.296,279504
0.296,634445
0.296,315719
0.296,136112
0.296,553350
0.296,174137
0.296,91370
0.296,115710
0.296,247461
0.296,865433
0.296,412012
0.296,305572
0.296,141213
0.296,212928
0.296,525552
0.296,105998
0.296,450707
0.296,333929
0.296,78672
0.296,334209
0.296,662945
0.296,157492
0.296,4192036
0.296,865774
0.296,515092
0.296,475256
0.296,325308
0.296,179314
0.296,584259
0.296,204150
0.296,192605
0.296,121297
0.296,155224
0.296,98978
0.296,293570
0.296,298098
0.296,178212
0.296,1303765
0.296,827507
0.296,192087
0.296,4008797
0.296,191901
0.296,100510
0.296,519657
0.296,496744
0.296,127715
0.296,181710
0.296,197870
0.296,2053367
0.296,303949
0.296,107755
0.296,152889
0.296,2121055
0.296,139010
0.296,517434
0.309,315545
0.309,145426
0.309,166826
0.309,364966
0.309,95980
0.309,437353
0.309,151066
0.309,328887
0.309,75190
0.309,229931
0.309,115124
0.309,1730078
0.309,722191
0.309,97256
0.309,313595
0.309,338872
0.309,1615839
0.309,589893
0.309,215616
0.309,112373
0.309,1517311
0.309,388541
0.309,70179
0.309,93373
0.309,641293
0.309,117225
0.309,389170
0.309,447915
0.309,60816
0.309,88606
0.309,846567
0.309,608598
0.309,465964
0.309,130840
0.309,1825671
0.309,221622
0.309,181163
0.309,117686
0.309,156037
0.309,477507
0.309,338631
0.309,483260
