Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.740741,1.000000,17481962.000000
0.740741,1.000000,2429510.000000
0.728395,1.000000,144432851.000000
0.728395,1.000000,46167.000000
0.728395,1.000000,60222564.000000
0.728395,1.000000,1444203.000000
0.728395,1.000000,20854010.000000
0.728395,1.000000,297781.000000
0.728395,1.000000,2244454.000000
0.728395,1.000000,5076988.000000
0.728395,1.000000,275205.000000
0.728395,1.000000,1771916.000000
0.728395,1.000000,128213.000000
0.728395,1.000000,1899582.000000
0.728395,1.000000,3523619.000000
0.728395,1.000000,2269794.000000
0.728395,1.000000,156806.000000
0.728395,1.000000,435847.000000
0.728395,1.000000,579379.000000
0.728395,1.000000,36028.000000
0.728395,1.000000,82266.000000
0.716049,1.000000,83043.000000
0.716049,1.000000,340421.000000
0.716049,1.000000,74547.000000
0.716049,1.000000,996433.000000
0.716049,1.000000,2311182.000000
0.716049,1.000000,7330602.000000
0.716049,1.000000,20977123.000000
0.716049,1.000000,1850522.000000
0.716049,1.000000,697829.000000
0.716049,1.000000,978580.000000
0.716049,1.000000,18077458.000000
0.716049,1.000000,2001214.000000
0.716049,1.000000,936980.000000
0.716049,1.000000,115760.000000
0.716049,1.000000,5219265.000000
0.716049,1.000000,681530.000000
0.716049,1.000000,32301256.000000
0.716049,1.000000,77856.000000
0.716049,1.000000,1029485.000000
0.716049,1.000000,38713402.000000
0.716049,1.000000,1929317.000000
0.716049,1.000000,18074.000000
0.716049,1.000000,52143.000000
0.716049,1.000000,22170881.000000
0.716049,1.000000,381691.000000
0.716049,1.000000,706279.000000
0.716049,1.000000,560986.000000
0.716049,1.000000,2758613.000000
0.716049,1.000000,3832933.000000
0.716049,1.000000,1861264.000000
0.716049,1.000000,357210.000000
0.716049,1.000000,21076515.000000
0.716049,1.000000,208328.000000
0.716049,1.000000,615242.000000
0.716049,1.000000,952180.000000
0.716049,1.000000,601365.000000
0.716049,1.000000,5506545.000000
0.716049,1.000000,645999.000000
0.716049,1.000000,96640.000000
0.716049,1.000000,5341679.000000
0.716049,1.000000,1343425.000000
0.716049,1.000000,2703339.000000
0.716049,1.000000,309165.000000
0.716049,1.000000,42564.000000
0.716049,1.000000,253671.000000
0.716049,1.000000,18182136.000000
0.716049,1.000000,3335488.000000
0.716049,1.000000,556208.000000
0.716049,1.000000,243331.000000
0.716049,1.000000,6062599.000000
0.716049,1.000000,1182052.000000
0.716049,1.000000,199625.000000
0.716049,1.000000,350642.000000
0.716049,1.000000,686593.000000
0.716049,1.000000,12882480.000000
0.716049,1.000000,1012152.000000
0.716049,1.000000,42057.000000
0.716049,1.000000,1236787.000000
0.716049,1.000000,3410359.000000
0.716049,1.000000,2875023.000000
